세그먼트코드,적용시작일자,역명,적용종료일자,이력구분,역일련번호,세그먼트누적거리,최초등록일시,최종변경일시
2103,1900-01-01,상록수,9999-12-31,신규 ,5,9.4,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,한대앞,9999-12-31,신규 ,6,10.9,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,중앙,9999-12-31,신규 ,7,12.5,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,고잔,9999-12-31,신규 ,8,13.9,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,공단,9999-12-31,신규 ,9,15.4,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,안산,9999-12-31,신규 ,10,17.2,2011-12-13 00:00,2011-12-13 00:00
2106,1900-01-01,안산,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2106,1900-01-01,신길온천,9999-12-31,신규 ,2,2.2,2011-12-13 00:00,2011-12-13 00:00
2106,1900-01-01,정왕,9999-12-31,신규 ,3,5.1,2011-12-13 00:00,2011-12-13 00:00
2106,1900-01-01,오이도,9999-12-31,신규 ,4,6.5,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,선릉,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,한티,9999-12-31,신규 ,2,1,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,도곡,9999-12-31,신규 ,3,1.7,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,구룡역,9999-12-31,신규 ,4,2.3,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,개포동,9999-12-31,신규 ,5,3,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,대모산입구,9999-12-31,신규 ,6,3.6,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,수서,9999-12-31,신규 ,7,6.6,2011-12-13 00:00,2011-12-13 00:00
2303,1900-01-01,수서,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2303,1900-01-01,복정,9999-12-31,신규 ,2,3.2,2011-12-13 00:00,2011-12-13 00:00
2303,1900-01-01,경원대,9999-12-31,신규 ,3,5.6,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,경원대,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,태평,9999-12-31,신규 ,2,1,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,모란,9999-12-31,신규 ,3,1.9,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,야탑,9999-12-31,신규 ,4,4.2,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,이매,9999-12-31,신규 ,5,5.9,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,서현,9999-12-31,신규 ,6,7.3,2011-12-13 00:00,2011-12-13 00:00
2309,1900-01-01,서현,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2309,1900-01-01,수내,9999-12-31,신규 ,2,1.1,2011-12-13 00:00,2011-12-13 00:00
2312,1900-01-01,수내,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2312,1900-01-01,정자,9999-12-31,신규 ,2,1.6,2011-12-13 00:00,2011-12-13 00:00
2312,1900-01-01,미금,9999-12-31,신규 ,3,3.4,2011-12-13 00:00,2011-12-13 00:00
2312,1900-01-01,오리,9999-12-31,신규 ,4,4.5,2011-12-13 00:00,2011-12-13 00:00
2315,1900-01-01,오리,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2315,1900-01-01,죽전,9999-12-31,신규 ,2,1.8,2011-12-13 00:00,2011-12-13 00:00
2318,1900-01-01,죽전,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2318,1900-01-01,보정,9999-12-31,신규 ,2,0.8,2011-12-13 00:00,2011-12-13 00:00
2321,1900-01-01,죽전,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2321,1900-01-01,분당기지,9999-12-31,신규 ,2,0.5,2011-12-13 00:00,2011-12-13 00:00
2400,1900-01-01,삼송,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2400,1900-01-01,원당,9999-12-31,신규 ,2,5,2011-12-13 00:00,2011-12-13 00:00
2400,1900-01-01,화정,9999-12-31,신규 ,3,7.6,2011-12-13 00:00,2011-12-13 00:00
2400,1900-01-01,3대곡,9999-12-31,신규 ,4,9.7,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,3대곡,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,백석,9999-12-31,신규 ,2,2.5,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,마두,9999-12-31,신규 ,3,3.9,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,정발산,9999-12-31,신규 ,4,4.8,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,주엽,9999-12-31,신규 ,5,6.4,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,대화,9999-12-31,신규 ,6,7.8,2011-12-13 00:00,2011-12-13 00:00
9003,1900-01-01,지하서울,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
9003,1900-01-01,시청,9999-12-31,신규 ,2,1.1,2011-12-13 00:00,2011-12-13 00:00
9003,1900-01-01,종각,9999-12-31,신규 ,3,2.1,2011-12-13 00:00,2011-12-13 00:00
9003,1900-01-01,1종로3가,9999-12-31,신규 ,4,2.9,2011-12-13 00:00,2011-12-13 00:00
