G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
25221506,전기기관차용운전장치(VVVF형),Electric locomotive drive equipment(VVVF),"VVVF형전차 운전실내에 설치된 열차안전운행을 위한 다수설비의 조합물품으로, 주간제어기, 제동제어기, 표시장치, 운전경계장치, 각종 스위치, 냉·온장고,배전반, 기계 및 전기, 전자 장비등으로 구성됨.",2012-12-19 01:27,Y
25221507,고속철도차량운전상황기록장치,High speed rolling stock atess,"고속철도 차량의 속도를 측정하여 기록하는 장치로, 속도센서, ATESS 랙,카세트, 속도기록계 등으로 구성되며 부속품을 포함함.",2012-12-19 01:27,Y
25221508,고속철도차량운전수행확인장치,High speed rolling stock vacma,"고속철도 차량의 안전운행장치의 일종으로 운전중 기관사의 행동을 주기적으로 확인하여 기관사의 신변에 이상 발생시 사령실에 자동으로 무선알람을 하는 장치로확인스위치, 경보경적 및 벨, 확인페달 등으로 구성됨.",2012-12-19 01:27,Y
25221509,디젤기관차용제어대,Diesel locomotive driving desk,"디젤기관차의 운전제어대로, 주제어기를 중심으로 각종 운전제어용 계기와 스위치 등이 부착되어 있음.",2012-12-19 01:27,Y
25221510,디젤동차용주간제어대,Diesel rail car driving desk,"디젤동차의 운전실에 있는 운전제어대로, 기관사가 동차를 운행하는데 필요한 속도제어용 가감간, 방향제어용 역전간, 변속기 투입스위치 등 각종 계기 및 스위치가 배치되어 있음.",2012-12-19 01:27,Y
25221511,전기기관차용주간제어기,Electric locomotive master controller,"전기기관차의 열차견인시 속도제어와 발전제동시 발전제동력을 제어하는 장치로, 운전실 기관사 제어대에 설치되며, 주간제어기와 전위차계, 역전기, 전이간 등으로 구성됨.",2012-12-19 01:27,Y
25221512,전기기관차용기관사제어대,Electric locomotive engineman driving desk,"전기기관차의 전후 운전실에 기관차의 운전에 필요한 주간제어기, 속도지시계, 전류계, 전압계, 제동장치류, 스위치류 및 압력계 등 각종 기기가 FRP 프레임에 설치된 운전 제어대.",2012-12-19 01:27,Y
25221513,전동차용주제어기,Electric rail car master controller,"전동차의 운전실에 설치되어 승무원의 조작으로 전동차의 운행속도를 제어하는 장치로, 핸들, 접촉편, 프레임, 스위치축 등으로 구성되며, 부속품을 포함.",2012-12-19 01:27,Y
25221515,전동차용제동제어기(인버터제어),Electric rail car brake controller,"인버터제어 전동차의 운전대에 취부되어 있으며 기관사의 핸들조작으로 전동차의 제동을 제어하는 제어기 조립체로, 제어핸들과 하우징, 캠 등으로 되어 있음.",2012-12-19 01:27,Y
252216,철도차량압력및유체장치,Rolling stock pressure and fluid equipment,"철도차량의 공압이나 유압발생장치와 조정기기로 호스, 콕 등과 배관부품.",2012-12-19 01:27,Y
25221601,전기기관차용콕크,Electric locomotive cock,"전기기관차에서 사용하는 각종 앵글 콕크류이며, 제동장치에는 2방향 및 4방향콕크가 쓰임.",2012-12-19 01:27,Y
25221602,전동차용공기건조기,Electric rail car air dryer,"전동차의 주공기압축기에서 생성된 압력공기가 후부냉각기, 유분리기를 거친 후 잔류한 응축된 수분을 제거하는 장치로 건조통안에 건조제가 담겨 있으며 부속품을포함함.",2012-12-19 01:27,Y
25221603,전동차용공기배관장치,Electric rail car air barke piping,"전동차의 공기제동장치의 배관 및 부속품으로, 배수콕, 역지밸브, 배수밸브 등을 포함함.",2012-12-19 01:27,Y
25221604,전동차용공기압축기(왕복동식),Electric rail car air compressor(reciprocating),"대기의 공기를 일정한 압력으로 압축시켜 전동차의 제동장치 및 공기압으로 작동되는 각종 기기에 압축공기를 공급하는 피스톤식 압축기로, 전동기 및 부속품을포함.(스크류방식은 25221605로 분류).",2012-12-19 01:27,Y
25221605,전동차용공기압축기,Electric rail car air compressor,"대기의 공기를 일정한 압력으로 압축시켜 공기압으로 작동되는 전동차의 제동장치 및 각종 기기(공기 스프링장치, 출입문 개폐장치 외)에 압축공기를 공급하는장치로, 압축기와 전동기로 구성되며, 스크류(SCREW)방식의 압축기가 사용됨.",2012-12-19 01:27,Y
25221607,철도차량용공기압축장치,Rollingstock air compressors,객화차와 사고복구기중기 등 특수차량용의 공압작동기기에 필요한 압축공기를 발생시키는 공기압축기로 부속품을 포함함.,2012-12-19 01:27,Y
25221608,철도차량용공기여과기,Rollingstock engine air filters,객화차와 사고복구기중기 등 특수차량용 엔진에 공급되는 연소용 공기중의 불순물을 여과해주는 여과기 및 부속품임.,2012-12-19 01:27,Y
25221612,디젤기관차용공기필터,Diesel locomotive air filter,"디젤기관차의 기관에 공급되는 연소용 공기중의 불순물을 걸러주는 여과기로, 부품을 포함.",2012-12-19 01:27,Y
25221613,디젤동차용공기호스,Diesel rail car air hose,디젤동차와 연결되는 철도차량간의 공기계통을 연결하여 주는 고무호스.,2012-12-19 01:27,Y
25221615,객화차용급수장치,Passenger and freight car feed water equipment,"객화차의 세면기, 변기 등에 물을 공급하는 장치로, 물탱크, 감압밸브 등으로 구성되며 부속품을 포함함.",2012-12-19 01:27,Y
25221617,객화차용급유패드,Passenger and freight car oil lubricating pad,객화차용 급유패드.,2012-12-19 01:27,Y
25221618,전동차용기압스위치,Electric rail car baroswitches,"전동차의 제동장치에 사용되는 각종 압력스위치로 주공기통압력스위치, 조압기압력스위치, 보조공기압축기압력스위치 등이 있으며 기압스위치를 포함함.",2012-12-19 01:27,Y
